Year,Region,country or area,Location code,Parent code
1995,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
1996,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
1997,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
1998,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
1999,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2000,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2001,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2002,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2003,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2004,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2005,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2006,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2007,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2008,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2009,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2010,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2011,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2012,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2013,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2014,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2015,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2016,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2017,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2018,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2019,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2020,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
2021,LATIN AMERICA AND THE CARIBBEAN,South America,931,904
1950,ASIA,South-Eastern Asia,920,935
1951,ASIA,South-Eastern Asia,920,935
1952,ASIA,South-Eastern Asia,920,935
1953,ASIA,South-Eastern Asia,920,935
1954,ASIA,South-Eastern Asia,920,935
1955,ASIA,South-Eastern Asia,920,935
1956,ASIA,South-Eastern Asia,920,935
1957,ASIA,South-Eastern Asia,920,935
1958,ASIA,South-Eastern Asia,920,935
1959,ASIA,South-Eastern Asia,920,935
1960,ASIA,South-Eastern Asia,920,935
1961,ASIA,South-Eastern Asia,920,935
1962,ASIA,South-Eastern Asia,920,935
1963,ASIA,South-Eastern Asia,920,935
1964,ASIA,South-Eastern Asia,920,935
1965,ASIA,South-Eastern Asia,920,935
1966,ASIA,South-Eastern Asia,920,935
1967,ASIA,South-Eastern Asia,920,935
1968,ASIA,South-Eastern Asia,920,935
1969,ASIA,South-Eastern Asia,920,935
1970,ASIA,South-Eastern Asia,920,935
1971,ASIA,South-Eastern Asia,920,935
1972,ASIA,South-Eastern Asia,920,935
1973,ASIA,South-Eastern Asia,920,935
1974,ASIA,South-Eastern Asia,920,935
1975,ASIA,South-Eastern Asia,920,935
1976,ASIA,South-Eastern Asia,920,935
1977,ASIA,South-Eastern Asia,920,935
1978,ASIA,South-Eastern Asia,920,935
1979,ASIA,South-Eastern Asia,920,935
1980,ASIA,South-Eastern Asia,920,935
1981,ASIA,South-Eastern Asia,920,935
1982,ASIA,South-Eastern Asia,920,935
1983,ASIA,South-Eastern Asia,920,935
1984,ASIA,South-Eastern Asia,920,935
1985,ASIA,South-Eastern Asia,920,935
1986,ASIA,South-Eastern Asia,920,935
1987,ASIA,South-Eastern Asia,920,935
1988,ASIA,South-Eastern Asia,920,935
1989,ASIA,South-Eastern Asia,920,935
1990,ASIA,South-Eastern Asia,920,935
1991,ASIA,South-Eastern Asia,920,935
1992,ASIA,South-Eastern Asia,920,935
1993,ASIA,South-Eastern Asia,920,935
1994,ASIA,South-Eastern Asia,920,935
1995,ASIA,South-Eastern Asia,920,935
1996,ASIA,South-Eastern Asia,920,935
1997,ASIA,South-Eastern Asia,920,935
1998,ASIA,South-Eastern Asia,920,935
1999,ASIA,South-Eastern Asia,920,935
2000,ASIA,South-Eastern Asia,920,935
2001,ASIA,South-Eastern Asia,920,935
2002,ASIA,South-Eastern Asia,920,935
2003,ASIA,South-Eastern Asia,920,935
2004,ASIA,South-Eastern Asia,920,935
2005,ASIA,South-Eastern Asia,920,935
2006,ASIA,South-Eastern Asia,920,935
2007,ASIA,South-Eastern Asia,920,935
2008,ASIA,South-Eastern Asia,920,935
2009,ASIA,South-Eastern Asia,920,935
2010,ASIA,South-Eastern Asia,920,935
2011,ASIA,South-Eastern Asia,920,935
2012,ASIA,South-Eastern Asia,920,935
2013,ASIA,South-Eastern Asia,920,935
2014,ASIA,South-Eastern Asia,920,935
2015,ASIA,South-Eastern Asia,920,935
2016,ASIA,South-Eastern Asia,920,935
2017,ASIA,South-Eastern Asia,920,935
2018,ASIA,South-Eastern Asia,920,935
2019,ASIA,South-Eastern Asia,920,935
2020,ASIA,South-Eastern Asia,920,935
2021,ASIA,South-Eastern Asia,920,935
1950,AFRICA,Southern Africa,913,903
1951,AFRICA,Southern Africa,913,903
1952,AFRICA,Southern Africa,913,903
1953,AFRICA,Southern Africa,913,903
1954,AFRICA,Southern Africa,913,903
1955,AFRICA,Southern Africa,913,903
1956,AFRICA,Southern Africa,913,903
1957,AFRICA,Southern Africa,913,903
1958,AFRICA,Southern Africa,913,903
1959,AFRICA,Southern Africa,913,903
1960,AFRICA,Southern Africa,913,903
1961,AFRICA,Southern Africa,913,903
1962,AFRICA,Southern Africa,913,903
1963,AFRICA,Southern Africa,913,903
1964,AFRICA,Southern Africa,913,903
1965,AFRICA,Southern Africa,913,903
1966,AFRICA,Southern Africa,913,903
1967,AFRICA,Southern Africa,913,903
1968,AFRICA,Southern Africa,913,903
1969,AFRICA,Southern Africa,913,903
1970,AFRICA,Southern Africa,913,903
1971,AFRICA,Southern Africa,913,903
1972,AFRICA,Southern Africa,913,903
1973,AFRICA,Southern Africa,913,903
1974,AFRICA,Southern Africa,913,903
1975,AFRICA,Southern Africa,913,903
1976,AFRICA,Southern Africa,913,903
1977,AFRICA,Southern Africa,913,903
1978,AFRICA,Southern Africa,913,903
1979,AFRICA,Southern Africa,913,903
1980,AFRICA,Southern Africa,913,903
1981,AFRICA,Southern Africa,913,903
1982,AFRICA,Southern Africa,913,903
1983,AFRICA,Southern Africa,913,903
1984,AFRICA,Southern Africa,913,903
1985,AFRICA,Southern Africa,913,903
1986,AFRICA,Southern Africa,913,903
1987,AFRICA,Southern Africa,913,903
1988,AFRICA,Southern Africa,913,903
1989,AFRICA,Southern Africa,913,903
1990,AFRICA,Southern Africa,913,903
1991,AFRICA,Southern Africa,913,903
1992,AFRICA,Southern Africa,913,903
1993,AFRICA,Southern Africa,913,903
1994,AFRICA,Southern Africa,913,903
1995,AFRICA,Southern Africa,913,903
1996,AFRICA,Southern Africa,913,903
1997,AFRICA,Southern Africa,913,903
1998,AFRICA,Southern Africa,913,903
1999,AFRICA,Southern Africa,913,903
2000,AFRICA,Southern Africa,913,903
2001,AFRICA,Southern Africa,913,903
2002,AFRICA,Southern Africa,913,903
2003,AFRICA,Southern Africa,913,903
2004,AFRICA,Southern Africa,913,903
2005,AFRICA,Southern Africa,913,903
2006,AFRICA,Southern Africa,913,903
2007,AFRICA,Southern Africa,913,903
2008,AFRICA,Southern Africa,913,903
2009,AFRICA,Southern Africa,913,903
2010,AFRICA,Southern Africa,913,903
2011,AFRICA,Southern Africa,913,903
2012,AFRICA,Southern Africa,913,903
2013,AFRICA,Southern Africa,913,903
2014,AFRICA,Southern Africa,913,903
2015,AFRICA,Southern Africa,913,903
2016,AFRICA,Southern Africa,913,903
2017,AFRICA,Southern Africa,913,903
2018,AFRICA,Southern Africa,913,903
2019,AFRICA,Southern Africa,913,903
2020,AFRICA,Southern Africa,913,903
2021,AFRICA,Southern Africa,913,903
1950,ASIA,Southern Asia,5501,935
1951,ASIA,Southern Asia,5501,935
1952,ASIA,Southern Asia,5501,935
1953,ASIA,Southern Asia,5501,935
1954,ASIA,Southern Asia,5501,935
1955,ASIA,Southern Asia,5501,935
1956,ASIA,Southern Asia,5501,935
1957,ASIA,Southern Asia,5501,935
1958,ASIA,Southern Asia,5501,935
1959,ASIA,Southern Asia,5501,935
1960,ASIA,Southern Asia,5501,935
1961,ASIA,Southern Asia,5501,935
1962,ASIA,Southern Asia,5501,935
1963,ASIA,Southern Asia,5501,935
1964,ASIA,Southern Asia,5501,935
1965,ASIA,Southern Asia,5501,935
1966,ASIA,Southern Asia,5501,935
1967,ASIA,Southern Asia,5501,935
1968,ASIA,Southern Asia,5501,935
1969,ASIA,Southern Asia,5501,935
1970,ASIA,Southern Asia,5501,935
1971,ASIA,Southern Asia,5501,935
1972,ASIA,Southern Asia,5501,935
1973,ASIA,Southern Asia,5501,935
1974,ASIA,Southern Asia,5501,935
1975,ASIA,Southern Asia,5501,935
1976,ASIA,Southern Asia,5501,935
1977,ASIA,Southern Asia,5501,935
1978,ASIA,Southern Asia,5501,935
1979,ASIA,Southern Asia,5501,935
1980,ASIA,Southern Asia,5501,935
1981,ASIA,Southern Asia,5501,935
1982,ASIA,Southern Asia,5501,935
1983,ASIA,Southern Asia,5501,935
1984,ASIA,Southern Asia,5501,935
1985,ASIA,Southern Asia,5501,935
1986,ASIA,Southern Asia,5501,935
1987,ASIA,Southern Asia,5501,935
1988,ASIA,Southern Asia,5501,935
1989,ASIA,Southern Asia,5501,935
1990,ASIA,Southern Asia,5501,935
1991,ASIA,Southern Asia,5501,935
1992,ASIA,Southern Asia,5501,935
1993,ASIA,Southern Asia,5501,935
1994,ASIA,Southern Asia,5501,935
1995,ASIA,Southern Asia,5501,935
1996,ASIA,Southern Asia,5501,935
1997,ASIA,Southern Asia,5501,935
1998,ASIA,Southern Asia,5501,935
1999,ASIA,Southern Asia,5501,935
2000,ASIA,Southern Asia,5501,935
2001,ASIA,Southern Asia,5501,935
2002,ASIA,Southern Asia,5501,935
2003,ASIA,Southern Asia,5501,935
2004,ASIA,Southern Asia,5501,935
2005,ASIA,Southern Asia,5501,935
2006,ASIA,Southern Asia,5501,935
2007,ASIA,Southern Asia,5501,935
2008,ASIA,Southern Asia,5501,935
2009,ASIA,Southern Asia,5501,935
2010,ASIA,Southern Asia,5501,935
2011,ASIA,Southern Asia,5501,935
2012,ASIA,Southern Asia,5501,935
2013,ASIA,Southern Asia,5501,935
2014,ASIA,Southern Asia,5501,935
2015,ASIA,Southern Asia,5501,935
2016,ASIA,Southern Asia,5501,935
2017,ASIA,Southern Asia,5501,935
2018,ASIA,Southern Asia,5501,935
2019,ASIA,Southern Asia,5501,935
2020,ASIA,Southern Asia,5501,935
2021,ASIA,Southern Asia,5501,935
1950,EUROPE,Southern Europe,925,908
1951,EUROPE,Southern Europe,925,908
1952,EUROPE,Southern Europe,925,908
1953,EUROPE,Southern Europe,925,908
1954,EUROPE,Southern Europe,925,908
1955,EUROPE,Southern Europe,925,908
1956,EUROPE,Southern Europe,925,908
1957,EUROPE,Southern Europe,925,908
1958,EUROPE,Southern Europe,925,908
1959,EUROPE,Southern Europe,925,908
1960,EUROPE,Southern Europe,925,908
1961,EUROPE,Southern Europe,925,908
1962,EUROPE,Southern Europe,925,908
1963,EUROPE,Southern Europe,925,908
1964,EUROPE,Southern Europe,925,908
1965,EUROPE,Southern Europe,925,908
1966,EUROPE,Southern Europe,925,908
1967,EUROPE,Southern Europe,925,908
1968,EUROPE,Southern Europe,925,908
1969,EUROPE,Southern Europe,925,908
1970,EUROPE,Southern Europe,925,908
1971,EUROPE,Southern Europe,925,908
1972,EUROPE,Southern Europe,925,908
1973,EUROPE,Southern Europe,925,908
1974,EUROPE,Southern Europe,925,908
1975,EUROPE,Southern Europe,925,908
1976,EUROPE,Southern Europe,925,908
1977,EUROPE,Southern Europe,925,908
1978,EUROPE,Southern Europe,925,908
1979,EUROPE,Southern Europe,925,908
1980,EUROPE,Southern Europe,925,908
1981,EUROPE,Southern Europe,925,908
1982,EUROPE,Southern Europe,925,908
1983,EUROPE,Southern Europe,925,908
1984,EUROPE,Southern Europe,925,908
1985,EUROPE,Southern Europe,925,908
1986,EUROPE,Southern Europe,925,908
1987,EUROPE,Southern Europe,925,908
1988,EUROPE,Southern Europe,925,908
1989,EUROPE,Southern Europe,925,908
1990,EUROPE,Southern Europe,925,908
1991,EUROPE,Southern Europe,925,908
1992,EUROPE,Southern Europe,925,908
1993,EUROPE,Southern Europe,925,908
1994,EUROPE,Southern Europe,925,908
1995,EUROPE,Southern Europe,925,908
1996,EUROPE,Southern Europe,925,908
1997,EUROPE,Southern Europe,925,908
1998,EUROPE,Southern Europe,925,908
1999,EUROPE,Southern Europe,925,908
2000,EUROPE,Southern Europe,925,908
2001,EUROPE,Southern Europe,925,908
2002,EUROPE,Southern Europe,925,908
2003,EUROPE,Southern Europe,925,908
2004,EUROPE,Southern Europe,925,908
2005,EUROPE,Southern Europe,925,908
2006,EUROPE,Southern Europe,925,908
2007,EUROPE,Southern Europe,925,908
2008,EUROPE,Southern Europe,925,908
2009,EUROPE,Southern Europe,925,908
2010,EUROPE,Southern Europe,925,908
2011,EUROPE,Southern Europe,925,908
2012,EUROPE,Southern Europe,925,908
2013,EUROPE,Southern Europe,925,908
2014,EUROPE,Southern Europe,925,908
2015,EUROPE,Southern Europe,925,908
2016,EUROPE,Southern Europe,925,908
2017,EUROPE,Southern Europe,925,908
2018,EUROPE,Southern Europe,925,908
2019,EUROPE,Southern Europe,925,908
2020,EUROPE,Southern Europe,925,908
2021,EUROPE,Southern Europe,925,908
1950,AFRICA,Western Africa,914,903
1951,AFRICA,Western Africa,914,903
1952,AFRICA,Western Africa,914,903
1953,AFRICA,Western Africa,914,903
1954,AFRICA,Western Africa,914,903
1955,AFRICA,Western Africa,914,903
1956,AFRICA,Western Africa,914,903
1957,AFRICA,Western Africa,914,903
1958,AFRICA,Western Africa,914,903
1959,AFRICA,Western Africa,914,903
1960,AFRICA,Western Africa,914,903
1961,AFRICA,Western Africa,914,903
1962,AFRICA,Western Africa,914,903
1963,AFRICA,Western Africa,914,903
1964,AFRICA,Western Africa,914,903
1965,AFRICA,Western Africa,914,903
1966,AFRICA,Western Africa,914,903
1967,AFRICA,Western Africa,914,903
1968,AFRICA,Western Africa,914,903
1969,AFRICA,Western Africa,914,903
1970,AFRICA,Western Africa,914,903
1971,AFRICA,Western Africa,914,903
1972,AFRICA,Western Africa,914,903
1973,AFRICA,Western Africa,914,903
1974,AFRICA,Western Africa,914,903
1975,AFRICA,Western Africa,914,903
1976,AFRICA,Western Africa,914,903
1977,AFRICA,Western Africa,914,903
1978,AFRICA,Western Africa,914,903
1979,AFRICA,Western Africa,914,903
1980,AFRICA,Western Africa,914,903
1981,AFRICA,Western Africa,914,903
1982,AFRICA,Western Africa,914,903
1983,AFRICA,Western Africa,914,903
1984,AFRICA,Western Africa,914,903
1985,AFRICA,Western Africa,914,903
1986,AFRICA,Western Africa,914,903
1987,AFRICA,Western Africa,914,903
1988,AFRICA,Western Africa,914,903
1989,AFRICA,Western Africa,914,903
1990,AFRICA,Western Africa,914,903
1991,AFRICA,Western Africa,914,903
1992,AFRICA,Western Africa,914,903
1993,AFRICA,Western Africa,914,903
1994,AFRICA,Western Africa,914,903
1995,AFRICA,Western Africa,914,903
1996,AFRICA,Western Africa,914,903
1997,AFRICA,Western Africa,914,903
1998,AFRICA,Western Africa,914,903
1999,AFRICA,Western Africa,914,903
2000,AFRICA,Western Africa,914,903
2001,AFRICA,Western Africa,914,903
2002,AFRICA,Western Africa,914,903
2003,AFRICA,Western Africa,914,903
2004,AFRICA,Western Africa,914,903
2005,AFRICA,Western Africa,914,903
2006,AFRICA,Western Africa,914,903
2007,AFRICA,Western Africa,914,903
2008,AFRICA,Western Africa,914,903
2009,AFRICA,Western Africa,914,903
2010,AFRICA,Western Africa,914,903
2011,AFRICA,Western Africa,914,903
2012,AFRICA,Western Africa,914,903
2013,AFRICA,Western Africa,914,903
2014,AFRICA,Western Africa,914,903
2015,AFRICA,Western Africa,914,903
2016,AFRICA,Western Africa,914,903
2017,AFRICA,Western Africa,914,903
2018,AFRICA,Western Africa,914,903
2019,AFRICA,Western Africa,914,903
2020,AFRICA,Western Africa,914,903
2021,AFRICA,Western Africa,914,903
1950,ASIA,Western Asia,922,935
1951,ASIA,Western Asia,922,935
1952,ASIA,Western Asia,922,935
1953,ASIA,Western Asia,922,935
1954,ASIA,Western Asia,922,935
1955,ASIA,Western Asia,922,935
1956,ASIA,Western Asia,922,935
1957,ASIA,Western Asia,922,935
1958,ASIA,Western Asia,922,935
1959,ASIA,Western Asia,922,935
1960,ASIA,Western Asia,922,935
1961,ASIA,Western Asia,922,935
1962,ASIA,Western Asia,922,935
1963,ASIA,Western Asia,922,935
1964,ASIA,Western Asia,922,935
1965,ASIA,Western Asia,922,935
1966,ASIA,Western Asia,922,935
1967,ASIA,Western Asia,922,935
1968,ASIA,Western Asia,922,935
1969,ASIA,Western Asia,922,935
1970,ASIA,Western Asia,922,935
1971,ASIA,Western Asia,922,935
1972,ASIA,Western Asia,922,935
1973,ASIA,Western Asia,922,935
1974,ASIA,Western Asia,922,935
1975,ASIA,Western Asia,922,935
1976,ASIA,Western Asia,922,935
1977,ASIA,Western Asia,922,935
1978,ASIA,Western Asia,922,935
1979,ASIA,Western Asia,922,935
1980,ASIA,Western Asia,922,935
1981,ASIA,Western Asia,922,935
1982,ASIA,Western Asia,922,935
1983,ASIA,Western Asia,922,935
1984,ASIA,Western Asia,922,935
1985,ASIA,Western Asia,922,935
1986,ASIA,Western Asia,922,935
1987,ASIA,Western Asia,922,935
1988,ASIA,Western Asia,922,935
1989,ASIA,Western Asia,922,935
1990,ASIA,Western Asia,922,935
1991,ASIA,Western Asia,922,935
1992,ASIA,Western Asia,922,935
1993,ASIA,Western Asia,922,935
1994,ASIA,Western Asia,922,935
1995,ASIA,Western Asia,922,935
1996,ASIA,Western Asia,922,935
1997,ASIA,Western Asia,922,935
1998,ASIA,Western Asia,922,935
1999,ASIA,Western Asia,922,935
2000,ASIA,Western Asia,922,935
2001,ASIA,Western Asia,922,935
2002,ASIA,Western Asia,922,935
2003,ASIA,Western Asia,922,935
2004,ASIA,Western Asia,922,935
2005,ASIA,Western Asia,922,935
2006,ASIA,Western Asia,922,935
2007,ASIA,Western Asia,922,935
2008,ASIA,Western Asia,922,935
2009,ASIA,Western Asia,922,935
2010,ASIA,Western Asia,922,935
2011,ASIA,Western Asia,922,935
2012,ASIA,Western Asia,922,935
2013,ASIA,Western Asia,922,935
2014,ASIA,Western Asia,922,935
2015,ASIA,Western Asia,922,935
2016,ASIA,Western Asia,922,935
2017,ASIA,Western Asia,922,935
2018,ASIA,Western Asia,922,935
2019,ASIA,Western Asia,922,935
2020,ASIA,Western Asia,922,935
2021,ASIA,Western Asia,922,935
1950,EUROPE,Western Europe,926,908
1951,EUROPE,Western Europe,926,908
1952,EUROPE,Western Europe,926,908
1953,EUROPE,Western Europe,926,908
1954,EUROPE,Western Europe,926,908
1955,EUROPE,Western Europe,926,908
1956,EUROPE,Western Europe,926,908
1957,EUROPE,Western Europe,926,908
1958,EUROPE,Western Europe,926,908
1959,EUROPE,Western Europe,926,908
1960,EUROPE,Western Europe,926,908
1961,EUROPE,Western Europe,926,908
1962,EUROPE,Western Europe,926,908
1963,EUROPE,Western Europe,926,908
1964,EUROPE,Western Europe,926,908
1965,EUROPE,Western Europe,926,908
1966,EUROPE,Western Europe,926,908
1967,EUROPE,Western Europe,926,908
1968,EUROPE,Western Europe,926,908
1969,EUROPE,Western Europe,926,908
1970,EUROPE,Western Europe,926,908
1971,EUROPE,Western Europe,926,908
1972,EUROPE,Western Europe,926,908
1973,EUROPE,Western Europe,926,908
1974,EUROPE,Western Europe,926,908
1975,EUROPE,Western Europe,926,908
1976,EUROPE,Western Europe,926,908
1977,EUROPE,Western Europe,926,908
1978,EUROPE,Western Europe,926,908
1979,EUROPE,Western Europe,926,908
1980,EUROPE,Western Europe,926,908
1981,EUROPE,Western Europe,926,908
1982,EUROPE,Western Europe,926,908
1983,EUROPE,Western Europe,926,908
1984,EUROPE,Western Europe,926,908
1985,EUROPE,Western Europe,926,908
1986,EUROPE,Western Europe,926,908
1987,EUROPE,Western Europe,926,908
1988,EUROPE,Western Europe,926,908
1989,EUROPE,Western Europe,926,908
1990,EUROPE,Western Europe,926,908
1991,EUROPE,Western Europe,926,908
1992,EUROPE,Western Europe,926,908
1993,EUROPE,Western Europe,926,908
1994,EUROPE,Western Europe,926,908
1995,EUROPE,Western Europe,926,908
1996,EUROPE,Western Europe,926,908
1997,EUROPE,Western Europe,926,908
1998,EUROPE,Western Europe,926,908
1999,EUROPE,Western Europe,926,908
2000,EUROPE,Western Europe,926,908
2001,EUROPE,Western Europe,926,908
2002,EUROPE,Western Europe,926,908
2003,EUROPE,Western Europe,926,908
2004,EUROPE,Western Europe,926,908
2005,EUROPE,Western Europe,926,908
2006,EUROPE,Western Europe,926,908
2007,EUROPE,Western Europe,926,908
2008,EUROPE,Western Europe,926,908
2009,EUROPE,Western Europe,926,908
2010,EUROPE,Western Europe,926,908
2011,EUROPE,Western Europe,926,908
2012,EUROPE,Western Europe,926,908
2013,EUROPE,Western Europe,926,908
2014,EUROPE,Western Europe,926,908
2015,EUROPE,Western Europe,926,908
2016,EUROPE,Western Europe,926,908
2017,EUROPE,Western Europe,926,908
2018,EUROPE,Western Europe,926,908
2019,EUROPE,Western Europe,926,908
2020,EUROPE,Western Europe,926,908
2021,EUROPE,Western Europe,926,908
